Name,Level,School,Spell_Type,Target,Casting_Time,Conc,Ritual,Duration,Range,Components,Scales_with_level,,Origin,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Other,Professional,Cursed,Feyblood,Web_Description
Absorb Strength,4,Necromancy,"Attack, Necrotic",One creature,Action,No,No,1 minute,100 ft,"V, S",No,,New,No,Strength,No,Revenant,No,"Aberrant,Autumnal,Blighted,Dread,Oozemaster,Plaguebringer,Relicker","Dagon,Dispater,Jubilex,Monstrosity,Seducer,Vampire",Yes,No,No,Shadowcursed,No,"You shoot a ray of dirty grey energy that coruscates between you and one creature in range that isn't a construct or undead. Make a ranged spell attack; if you hit, the ray drains some of the target's strength and transfers it to you.<br>&nbsp; The ray lasts only an instant, but its effects persist for the duration of the spell. While it lasts, at the start of each of the target's turns, it suffers 3d10 necrotic damage, the target has disadvantage on all Strength attacks, checks and saves, and you gain advantage on all Strength attacks, checks and saves. At the end of each of its turns, the target can make a Constitution saving throw to end the effect."
Abundant Ammunition,1,Conjuration,"Creation, Weapon",1 container,Action,Yes,No,10 minutes,Touch,"V, S, M (a single piece of ammunition)",Yes,,"New,2016-08-04",Desire,Hunting,No,No,Yes,No,No,Yes,No,Smith,No,No,"When cast on a container such as a quiver or a pouch that contains nonmagical ammunition, at the start of each round this spell replaces any ammunition taken from the container the round before. The ammunition taken from the container the round before vanishes.<br><b>At Higher Levels</b>. When you cast this spell using a spell slot of 3rd level or higher, the ammunition creates becomes enchanted, with an additional +1 for every 3 spell levels (+1 as 3rd, +2 as 6th and +3 at 9th) ."
Accursed Wish,2,Conjuration,Utility,Self,Action,No,No,Instantaneous,Self,V,Yes,,"New,2018-10-21","Baator,Entropy",No,No,No,No,"Wild,Wishcrafter","Abraxas,Dagon,Dispater,Fiend,Great Old One,Jubilex,Levistus",No,No,No,No,No,"There is always a price for power.<br>You speak aloud, demanding a boon from one of the darkest planes. You instantly replicate the effects of a spell of 1st level from the your spell list with a casting time of 1 action or bonus action, or a cantrip from any spell list. Each time you cast this spell, roll a d20. If the result is 1, you are struck by an unholy force, reducing you to 0 hit points and causing you to fail your first and second death saving throws immediately after the spell is cast. If you are struck down a second time due to this spell before you finish a long rest, you die and cannot be resurrected by a spell cast using a spell slot lower than 8th level.<p><b>Empowered casting:</b><br>When you cast this spell using a spell slot of 3rd level, you can replicate a spell of 2nd level or lower, and the threshold for being struck down increases to a result of 2 or lower. When you cast this spell using a spell slot of 4th level, you can replicate a spell of 3nd level or lower, and the threshold for being struck down increases to a result of 3 or lower. This pattern continues until the spell is cast using a slot of 7th or higher level, where no additional effect is gained and the threshold is not increased."
Acid Spheres,5,Conjuration,"Attack, Acid",Self,Action,No,No,10 minutes,Self,"V, S",Yes,,New,No,No,No,No,No,Oozemaster,Jubilex,Yes,No,Candlemaker,Alchemical,No,"By means of this spell, you conjure spheres of acid that hover around you. Any time a creature within 10' of you intends to cast a spell at you or attack you, you may use your reaction to have one of the spheres attack the target. Make a ranged spell attack at the creature. If you hit, it takes 2d10 acid damage, and it must succeed at a Dexterity saving throw or take 2d10 acid damage again at the end of its next turn. The target can avoid this additional damage by removing the acid from its body, for example be submerge in water.<br>&nbsp; <b>At Higher Levels</b>When you cast this spell using a 6th or higher level slot, the initial damage increases by 1d10 for each slot level above 5th."
Acid Splash,0,Conjuration,"Damage, Acid",One or two targets,Action,No,No,Instantaneous,60 ft,"V, S",Yes,,PHB,No,No,No,No,No,"Oozemaster,Wild","Ancient Toad,Jubilex",Yes,No,No,"Alchemical,Beyond",No,"You hurl a bubble of acid. Choose one target you can see within range, or choose two targets you can see within range that are within 5 feet of each other. All targets must make a Dexterity saving throw. If you chose one target and they failed their saving throw, they take 1d8 acid damage. If you choose two targets, any target failing their saving throw takes 1d6 acid damage. You can further use your bonus action when casting this spell to select a third target within 5 feet of the other two targets, which takes 1d4 acid damage if they fail their saving throw.<br>This spell’s damage increases by a die when you reach 5th level (2d8, 2d6 or 2d4), 11th level (3d8, 3d6 or 3d4), and 17th level (4d8, 4d6 or 4d4)."
Acid Storm,7,Conjuration,"Damage, Acid",Radius 20 ft,Action,Yes,No,1 minute,120 ft,"V, S, M (a small vial of acid)",No,,"Book of Lost Spells,2018-01-07",No,No,No,No,No,Oozemaster,"Ancient Toad,Storm Lord",Yes,No,No,No,No,"You create a caustic downpour of acid in a cylindrical area with a 20-foot radius, 30 feet high, extending downward from a point you can see. For the duration, each creature that starts its turn in the area or enters the area takes 5d8 acid damage. Even after leaving the area, a creature is still coated with the acid and continues taking 2d8 acid damage at the end of each of its turns. A creature can use an action to rinse off the acid if it has water, vinegar, or another suitable substance available. All ongoing damage ends when the spell ends."
Acid Swamp,7,Transmutation,"Damage, Acid",Radius 100 ft,Action,Yes,No,1 minute,120 ft,"V, S, M (a small vial of acid)",No,,"Book of Lost Spells,2018-01-07",No,No,No,No,No,"Draconic,Oceanic,Oozemaster","Ancient Toad,Crone,Dagon,Jubilex,Keeper of Depths",Yes,No,No,No,No,"You transform a normal body of water into a pool of thick, bubbling acid. The spell affects an area up to 100 ft. by 100 feet by 20 feet deep. The acid is black and opaque and reeks of sulfur. Anyone splashed by the acid takes 2d6 acid damage. A creature that starts its turn in the acid or that enters the acid takes 10d6 acid damage, or half damage with a successful Constitution saving throw."
Acid Wind,1,Evocation,"Damage, Acid",Cone 15 ft,Action,No,No,Instantaneous,15 ft,"V, S",Yes,,"New,2018-01-04",No,No,No,No,No,Storm,"Ancient Toad,Jubilex,Monstrosity,Storm Lord",Yes,No,No,Alchemical,No,"You call forth a blast of stinging acid droplets from your outstretched hand. Each creature in a 15-foot cone must make a Dexterity saving throw. On a failed save, a creature takes 2d6 acid damage and is blinded until the end of your next turn. On a successful save, the creature takes half as much damage and isn’t blinded.<p><b>Empowered casting:</b><br>By spending a higher level spell slot you can create the following effect:<br>&nbsp; ♦ For each slot level above 1st, you increase the damage by 1 die.<br>&nbsp; ♦ If you cast the spell using at level 3 or higher, you may double the cone dimensions to a 30 ft cone, and you increase the damage die to d8s.<br>&nbsp; ♦ If you cast the spell at level 5 or higher, the acid deals additional damage on each target that failed it's save, at the end of your next turn. This damage is equal to half the number of dice of the initial damage (round down)."
Acidic Discharge,0,Conjuration,"Attack, Acid",Self,Action,No,No,Instantaneous,Self (30 ft),"V, S",Yes,,"New,2018-12-08",Mad god,No,No,No,No,"Aberrant,Oozemaster,Plaguebringer","Ancient Toad,Jubilex,Monstrosity",No,No,No,No,No,"You discharge an acidic projectile vomit. Make a ranged spell attack against a target. On a hit, the target takes 1d8 acid damage and creatures adjacent to the target take 1d4 acid damage. If you roll a natural 20 on your attack roll, the primary target is also blinded until the end of your next turn.<br>&nbsp; This spell’s primary and secondary damage increases by one die when you reach 5th level (2d8 and 2d4), 11th level (3d8 and 3d4), and 17th level (4d8 and 4d4)."
Acidic Exudation,2,Transmutation,"Damage, Acid",Self,Action,Yes,No,1 minute,Self,"V, S, M (a pinch of saltpeter)",Yes,,"New,2020-02-09",No,No,No,No,No,"Aberrant,Oozemaster",Jubilex,Yes,No,No,"Alchemical,Beyond",No,"Your palm secretes a volatile gel, which you can use as a weapon. For the duration, you can use a bonus action on your turn to throw a globule of the substance up to 30 feet. The globule explodes upon impact, creating a shower of hissing acid in a 5-foot radius. Creatures in the area must make a Dexterity saving throw, taking 2d6 acid damage on a failed save, or half as much damage on a successful one.<br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd."
